Aspect,Slope,LULC,NDVI,Rainfall,TWI
244.99652,36.042343,60,0.21710794,4.625964,14.513694928754507
211.979,28.961596,60,0.5449013,4.625964,14.877021175513624
240.76628,32.2019,10,0.67122364,4.625964,14.695100834736984
248.24435,31.443188,30,0.5944032,4.625964,14.75428176656029
240.12749,40.198578,60,0.23567691,4.625964,14.45969244614667
191.04002,25.561646,30,0.45199227,4.625964,14.65755962904244
215.0835,29.841726,10,0.55409026,4.625964,14.5918113634154
22.281672,45.41674,60,0.46262732,4.625964,14.126604257413836
15.463366,37.08232,10,0.76635253,4.625964,14.384786678955493
203.81187,46.23162,10,0.5821014,4.5957475,14.727695204771704
179.03203,47.32754,10,0.7489936,4.5957475,14.715641310221615
180.0,29.534676,30,0.78913957,4.5957475,14.946883031305276
243.97075,43.804028,30,0.65931684,4.758372,14.842995414005262
156.1657,35.96379,60,0.51635784,4.5957475,15.09527098438186
178.77644,40.63446,10,0.4147964,4.5957475,14.762768700044258
255.04695,39.19987,10,0.6206972,4.5957475,14.707483079266584
38.493546,37.42516,10,0.7485471,4.4527707,15.017269176230428
134.35936,43.509655,30,0.46585628,4.772528,14.923701815628975
120.16256,58.16867,30,0.36940068,4.5403075,14.165989064258666
79.16957,48.238297,60,0.49126282,4.90307,15.000625827641898
7.799232,47.159405,30,0.88990825,4.780184,14.701544224460845
208.93079,39.77126,30,0.30043384,4.9416623,14.30431125932643
233.11613,37.059517,10,0.48497853,4.9416623,14.50827896430475
220.29976,40.33139,30,0.34346175,4.9416623,14.592060551966508
142.27106,37.87406,30,0.43648794,4.9416623,14.435984672977204
281.9817,25.072882,60,0.6805094,4.9416623,15.053111680738112
150.8892,48.498207,10,0.4561124,4.8086514,14.53070039420817
223.85066,36.529507,60,0.68328935,4.8086514,15.046532634024118
240.74689,40.737762,10,0.80210525,4.8086514,14.526409703862113
224.40001,39.973347,60,0.33182228,4.8086514,15.153074573468883
200.67752,46.072075,30,0.3489301,4.8086514,15.274032712018226
233.96964,37.616623,10,0.5838918,4.8086514,15.246650065885412
240.66199,42.77158,30,0.54985344,4.8086514,14.91761620796042
241.33188,41.261158,30,0.41320634,4.8086514,14.98185521704246
192.92276,50.866325,10,0.47074762,4.987441,13.676693404599574
217.03897,33.79161,10,0.5458158,4.987441,14.363413960711624
216.7449,43.515545,10,0.5474199,4.987441,14.380941959745636
217.8903,44.554615,10,0.47660998,4.987441,14.498662456266064
217.55536,47.261444,10,0.37487122,4.987441,14.238369685974458
214.67342,35.32145,10,0.43126684,4.987441,13.91289313985044
120.73837,46.264732,60,0.27083224,4.541609,14.86465443936641
117.25224,51.05454,10,0.34479487,4.541609,14.877586331707857
174.92429,39.652836,30,0.40064266,4.541609,14.941275387819804
