longitude,latitude,Aspect,Slope,LULC,NDVI,Rainfall,TWI
85.90765278774867,27.64447208632372,78.769905,47.217735,30,0.40202966,4.343434,14.618068232376011
85.89761467545966,27.639700878255464,200.61995,43.04464,10,0.5345364,4.343434,14.476581496188059
85.89816489199136,27.640368957128167,186.28462,33.731483,30,0.45217144,4.343434,14.685372680283532
85.89081297498255,27.658027762825725,275.3829,40.787045,10,0.65495527,4.343434,14.641499456979872
85.87949919292112,27.634412007574408,34.5492,63.032845,10,0.8174827,4.343434,13.559051177168923
85.98090730227015,27.7563662432733,333.77628,35.13623,10,0.8757764,4.1832337,14.73435814643782
85.83607680786129,27.71479479765839,41.11666,25.300842,10,0.66466033,5.719096,14.764792566320542
85.81505513082448,27.74083251658202,268.69995,35.50759,10,0.75262207,5.6687784,14.496977272990478
85.78192469682324,27.75000221202761,322.6664,39.157925,10,0.6582998,4.7094727,13.923590381132868
85.94071103287907,27.84995325164445,341.6597,63.183746,30,0.7197197,4.586505,14.887092413161827
85.95058490085708,27.85105210380948,353.7537,45.274715,30,0.6587473,4.586505,14.775508765486817
85.99351272968036,27.78188861758532,356.84412,33.61225,10,0.88235295,4.674496,14.611625532323519
85.99446485697034,27.781124864093396,8.041824,55.197388,10,0.94565743,4.674496,15.962959467667268
85.99818880535956,27.781877901385467,306.16165,27.530474,10,0.84,4.674496,14.561741223247687
85.99697833508355,27.780560854164285,23.343103,44.118645,10,0.82044446,4.674496,14.717300596723796
85.98547046429005,27.788701726085517,342.51462,45.993385,10,0.26435572,4.674496,14.548020065258797
86.01842175892799,27.753032017917207,128.53615,13.1620455,10,0.81434184,4.018328,15.755095798506614
86.02043579387657,27.75293314351415,283.81082,18.72965,10,0.8272907,4.018328,15.66203777711957
86.00233723221726,27.760167043198415,156.70811,55.96167,10,0.5189068,4.674496,14.129582241343265
85.97668442646207,27.788769424341123,321.8207,25.344088,10,0.8143041,4.674496,14.94273490464005
85.98441506579829,27.76130874527655,8.990274,39.3331,10,0.87663215,4.674496,14.364426292253668
85.98227664296284,27.76078770212581,22.769787,50.863895,10,0.7979452,4.674496,14.411726144408208
85.9804539219601,27.76209249831304,77.63669,63.900887,10,0.82122904,4.674496,14.947485806506315
85.98028305232774,27.763440536350288,21.890879,38.133884,10,0.85827667,4.674496,14.582215678997132
85.96868367288262,27.77755095580169,36.464634,27.624834,10,0.7637199,5.2163897,14.716241443615049
85.96426439256877,27.78020741575961,1.6185671,32.933926,10,0.8428638,5.2163897,14.683925003238766
85.9544094560524,27.78291520866082,22.970314,22.878057,10,0.7270241,5.2163897,14.028098733662425
