Aspect,DEM,Slope,LULC,NDVI,Rainfall,TWI,River,Road
111.07943,889,37.421097,30,0.25786376,4.647837,13.854492169131047,0.0,0.0
196.50652,1659,35.34086,60,0.44099188,4.496347,14.654264770676994,4950.0,60.0
127.62845,861,42.033817,10,0.71804875,4.647837,13.729272888788756,180.0,0.0
130.08997,1852,26.690228,10,0.64768755,4.607892,14.942965763627026,5430.082872295781,0.0
173.85153,1388,34.365097,10,0.49479368,4.607892,14.40341713167419,4666.904755831214,30.0
173.21016,1304,31.777388,60,0.15751667,4.607892,14.712444698934846,4690.469059699681,120.0
176.40433,1293,30.281048,60,0.4022637,4.607892,14.33650660245384,4596.661832243047,90.0
163.36455,1226,41.8422,10,0.79318637,4.607892,14.048493717639069,3704.119328531413,216.33307652783932
142.9809,1209,40.41519,10,0.37675005,4.607892,13.875591301158853,3797.6966703516487,192.09372712298543
148.06612,1233,43.06542,30,0.30112866,4.607892,14.177498772577062,3896.3059428130127,212.1320343559643
151.63765,1209,38.987556,60,0.13637629,4.607892,13.946687407269978,3832.140394087878,201.24611797498108
196.17085,1038,33.31812,10,0.56225425,4.647837,14.47611148172076,0.0,30.0
146.31456,1226,47.451015,60,0.13637629,4.607892,13.946687407269978,3832.140394087878,201.24611797498108
175.02742,1390,32.362766,30,0.15493791,4.607892,14.657363279128202,5254.112674848151,108.16653826391968
162.62769,1405,38.561478,30,0.18931834,4.607892,14.737105496178462,5536.361621137116,134.1640786499874
235.21764,1982,51.308258,10,0.6068117,4.607892,14.32696121194612,6090.0,210.0
180.0,1891,40.089466,10,0.79389435,4.607892,14.270777523654042,5820.0,90.0
195.30626,2082,46.13848,10,0.39816773,4.607892,14.337539055650772,5460.0,120.0
171.42337,1216,44.486973,10,0.40916222,4.607892,14.252349125675458,3203.825837963106,67.0820393249937
161.11984,963,36.340214,30,0.3472741,5.103636,14.182149723880102,0.0,0.0
188.0482,963,27.61683,30,0.26351467,5.103636,14.357759117597745,0.0,120.0
181.85114,966,29.547504,30,0.26351467,5.103636,14.357759117597745,0.0,120.0
132.51273,1317,33.851475,10,0.5024461,5.103636,14.366030068745031,1950.0,335.4101966249685
165.5332,1349,43.618935,10,0.6536529,5.103636,14.224606945900646,1920.0,379.4733192202056
149.2942,1296,36.983192,30,0.46209264,5.103636,14.541225914350555,1830.0,331.36083051561786
138.74063,1286,46.53755,10,0.5000771,4.607892,14.237752013618916,2010.0,258.0697580112788
133.85771,1112,49.43512,10,0.5621735,4.607892,13.811478651431148,2070.0,150.0
159.34076,1105,39.706665,10,0.465371,4.607892,14.055124688608624,2370.759372015641,108.16653826391968
194.10979,1569,42.02936,60,0.3226014,4.607892,14.611309427635549,5414.065016233181,123.69316876852982
149.08334,1846,43.899506,10,0.6579085,4.607892,14.634234740980771,6450.0,90.0
85.698326,1552,40.802666,10,0.80581325,4.607892,14.965925283973355,4620.0,30.0
67.80852,1549,14.421194,30,0.71860665,4.607892,14.8317362076925,4650.0,0.0
10.39689,1723,31.339142,10,0.7604752,4.496347,14.817020247329168,5340.0,120.0
161.09709,1969,52.439983,30,0.4712684,4.496347,14.478289637989484,3029.257334727441,216.33307652783932
100.98017,1997,37.412365,10,0.7908041,4.607892,14.866645863484328,5701.263017963652,0.0
